"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN005010600","AHMADABAD, IN","1960-05-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-09","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-10","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-11","0.00","90","113","75"
"IN005010600","AHMADABAD, IN","1960-05-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-15","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-17","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-18","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-20","0.00","91","108","79"
"IN005010600","AHMADABAD, IN","1960-05-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-23","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-27","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-29","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-30","0.00",,,
"IN005010600","AHMADABAD, IN","1960-05-31","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-01","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-04","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-05","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-06","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-07","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-09","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-10","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-11","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-15","0.67",,,
"IN005010600","AHMADABAD, IN","1960-06-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-17","0.10",,,
"IN005010600","AHMADABAD, IN","1960-06-18","1.83",,,
"IN005010600","AHMADABAD, IN","1960-06-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-20","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-23","1.37",,,
"IN005010600","AHMADABAD, IN","1960-06-24","0.36",,,
"IN005010600","AHMADABAD, IN","1960-06-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-27","0.08",,,
"IN005010600","AHMADABAD, IN","1960-06-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-29","0.00",,,
"IN005010600","AHMADABAD, IN","1960-06-30","1.65",,,
"IN005010600","AHMADABAD, IN","1960-07-01","0.34",,,
"IN005010600","AHMADABAD, IN","1960-07-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-04","0.13",,,
"IN005010600","AHMADABAD, IN","1960-07-05","1.43",,,
"IN005010600","AHMADABAD, IN","1960-07-06","0.26",,,
"IN005010600","AHMADABAD, IN","1960-07-07","0.10",,,
"IN005010600","AHMADABAD, IN","1960-07-08","0.02",,,
"IN005010600","AHMADABAD, IN","1960-07-09","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-10","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-11","0.04",,,
"IN005010600","AHMADABAD, IN","1960-07-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-15","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-17","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-18","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-20","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-23","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-27","0.88",,,
"IN005010600","AHMADABAD, IN","1960-07-28","0.75",,,
"IN005010600","AHMADABAD, IN","1960-07-29","0.21",,,
"IN005010600","AHMADABAD, IN","1960-07-30","0.00",,,
"IN005010600","AHMADABAD, IN","1960-07-31","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-01","0.56",,,
"IN005010600","AHMADABAD, IN","1960-08-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-04","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-05","0.33",,,
"IN005010600","AHMADABAD, IN","1960-08-06","0.15",,,
"IN005010600","AHMADABAD, IN","1960-08-07","0.72",,,
"IN005010600","AHMADABAD, IN","1960-08-08","0.06",,,
"IN005010600","AHMADABAD, IN","1960-08-09","0.04",,,
"IN005010600","AHMADABAD, IN","1960-08-10","2.33",,,
"IN005010600","AHMADABAD, IN","1960-08-11","0.31",,,
"IN005010600","AHMADABAD, IN","1960-08-12","0.09",,,
"IN005010600","AHMADABAD, IN","1960-08-13","0.27",,,
"IN005010600","AHMADABAD, IN","1960-08-14","0.01",,,
"IN005010600","AHMADABAD, IN","1960-08-15","0.01",,,
"IN005010600","AHMADABAD, IN","1960-08-16","0.02",,,
"IN005010600","AHMADABAD, IN","1960-08-17","0.24",,,
"IN005010600","AHMADABAD, IN","1960-08-18","0.11",,,
"IN005010600","AHMADABAD, IN","1960-08-19","0.26",,,
"IN005010600","AHMADABAD, IN","1960-08-20","0.15",,,
"IN005010600","AHMADABAD, IN","1960-08-21","0.02",,,
"IN005010600","AHMADABAD, IN","1960-08-22","0.03",,,
"IN005010600","AHMADABAD, IN","1960-08-23","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-27","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-29","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-30","0.00",,,
"IN005010600","AHMADABAD, IN","1960-08-31","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-01","0.06",,,
"IN005010600","AHMADABAD, IN","1960-09-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-04","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-05","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-06","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-07","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-09","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-10","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-11","1.22",,,
"IN005010600","AHMADABAD, IN","1960-09-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-15","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-17","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-18","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-20","0.05",,,
"IN005010600","AHMADABAD, IN","1960-09-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-23","0.10",,,
"IN005010600","AHMADABAD, IN","1960-09-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-26","0.05",,,
"IN005010600","AHMADABAD, IN","1960-09-27","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-29","0.00",,,
"IN005010600","AHMADABAD, IN","1960-09-30","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-01","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-02","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-03","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-04","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-05","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-06","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-07","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-08","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-09","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-10","0.28",,,
"IN005010600","AHMADABAD, IN","1960-10-11","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-12","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-13","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-14","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-15","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-16","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-17","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-18","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-19","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-20","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-21","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-22","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-23","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-24","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-25","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-26","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-27","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-28","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-29","0.00",,,
"IN005010600","AHMADABAD, IN","1960-10-30","0.00",,,
